 [antenna_pattern.dat]

  É” = 0.000 Åãplane
   É∆(deg)       EÉ”       EÉ∆       ER        EL 
     0.000  -30.0000  -30.0000  -30.0000  -30.0000
     1.000  -30.0000  -30.0000  -30.0000  -30.0000
     2.000  -30.0000  -30.0000  -30.0000  -30.0000
     3.000  -30.0000  -27.8907  -27.8907  -27.8907
     4.000  -30.0000  -25.3900  -25.3900  -25.3900
     5.000  -30.0000  -23.4493  -23.4493  -23.4493
     6.000  -30.0000  -21.8627  -21.8627  -21.8627
     7.000  -30.0000  -20.5202  -20.5202  -20.5202
     8.000  -30.0000  -19.3563  -19.3563  -19.3563
     9.000  -30.0000  -18.3287  -18.3287  -18.3287
    10.000  -30.0000  -17.4085  -17.4085  -17.4085
    11.000  -30.0000  -16.5752  -16.5752  -16.5752
    12.000  -30.0000  -15.8135  -15.8135  -15.8135
    13.000  -30.0000  -15.1120  -15.1120  -15.1120
    14.000  -30.0000  -14.4616  -14.4616  -14.4616
    15.000  -30.0000  -13.8552  -13.8552  -13.8552
    16.000  -30.0000  -13.2872  -13.2872  -13.2872
    17.000  -30.0000  -12.7530  -12.7530  -12.7530
    18.000  -30.0000  -12.2485  -12.2485  -12.2485
    19.000  -30.0000  -11.7707  -11.7707  -11.7707
    20.000  -30.0000  -11.3168  -11.3168  -11.3168
    21.000  -30.0000  -10.8844  -10.8844  -10.8844
    22.000  -30.0000  -10.4716  -10.4716  -10.4716
    23.000  -30.0000  -10.0767  -10.0767  -10.0767
    24.000  -30.0000   -9.6982   -9.6982   -9.6982
    25.000  -30.0000   -9.3348   -9.3348   -9.3348
    26.000  -30.0000   -8.9853   -8.9853   -8.9853
    27.000  -30.0000   -8.6488   -8.6488   -8.6488
    28.000  -30.0000   -8.3243   -8.3243   -8.3243
    29.000  -30.0000   -8.0111   -8.0111   -8.0111
    30.000  -30.0000   -7.7085   -7.7085   -7.7085
    31.000  -30.0000   -7.4157   -7.4157   -7.4157
    32.000  -30.0000   -7.1323   -7.1323   -7.1323
    33.000  -30.0000   -6.8578   -6.8578   -6.8578
    34.000  -30.0000   -6.5917   -6.5917   -6.5917
    35.000  -30.0000   -6.3336   -6.3336   -6.3336
    36.000  -30.0000   -6.0831   -6.0831   -6.0831
    37.000  -30.0000   -5.8398   -5.8398   -5.8398
