 [antenna_current.dat]

     i     Im[i].re     Im[i].im      |Im[i]|   PhaseIm[i] 
     1  -0.00045744   0.00091238   0.00102063       116.63
     2  -0.00071013   0.00138361   0.00155521       117.17
     3  -0.00092188   0.00176258   0.00198911       117.61
     4  -0.00109557   0.00205710   0.00233065       118.04
     5  -0.00123343   0.00227377   0.00258677       118.48
     6  -0.00133513   0.00241383   0.00275847       118.95
     7  -0.00139992   0.00247766   0.00284580       119.47
     8  -0.00142705   0.00246505   0.00284832       120.07
     9  -0.00141646   0.00237710   0.00276712       120.79
    10  -0.00135516   0.00217304   0.00256097       121.95
    11  -0.00101231   0.00139134   0.00172064       126.04
    12  -0.00083655   0.00097553   0.00128510       130.61
    13  -0.00066510   0.00058016   0.00088258       138.90
    14  -0.00049328   0.00019681   0.00053109       158.25
    15  -0.00031843  -0.00017882   0.00036520       209.32
    16  -0.00014127  -0.00054354   0.00056160       255.43
    17   0.00003628  -0.00089095   0.00089169       272.33
    18   0.00021169  -0.00121034   0.00122871       279.92
    19   0.00038212  -0.00149417   0.00154226       284.35
    20   0.00054459  -0.00156774   0.00165963       289.16
    21   0.00069613  -0.00260172   0.00269324       284.98
    22   0.00083385  -0.00340423   0.00350487       283.76
    23   0.00095504  -0.00412888   0.00423790       283.02
    24   0.00105723  -0.00476274   0.00487867       282.52
    25   0.00113837  -0.00529759   0.00541852       282.13
    26   0.00119689  -0.00572391   0.00584771       281.81
    27   0.00123183  -0.00603373   0.00615819       281.54
    28   0.00124290  -0.00622162   0.00634455       281.30
    29   0.00123082  -0.00628624   0.00640560       281.08
    30   0.00119562  -0.00622635   0.00634010       280.87
    31   0.00114680  -0.00607134   0.00617870       280.70
    32   0.00107931  -0.00580309   0.00590261       280.54
    33   0.00099310  -0.00542055   0.00551077       280.38
    34   0.00088983  -0.00492907   0.00500874       280.23
    35   0.00077148  -0.00433661   0.00440470       280.09
    36   0.00064033  -0.00365293   0.00370863       279.94
    37   0.00049873  -0.00288843   0.00293117       279.80
    38   0.00034853  -0.00205067   0.00208007       279.65
    39   0.00019230  -0.00115135   0.00116730       279.48



