 [antenna_field.dat]

  É” = 0.000 Åãplane
   --    >>-------   -------   --EÉ”--   -------   -------<< ** >>-------   -------   --EÉ∆--   -------   -------<< ** >>-------   --------<<
 É∆(deg)   FRAD.re   FRAD.im    |FRAD|    FPHASE  FGAI(dB)   **   TRAD.re   TRAD.im    |TRAD|    TPHASE  TGAI(dB)   ** TFGAI(dB)    TPHASE
   0.000  -0.14389  -0.01419   0.14458  -174.369    1.0704   **   0.01475   0.03667   0.03953    68.095  -10.1945   **    1.3834  -242.4640 
   1.000  -0.14410  -0.01528   0.14490  -173.947    1.0896   **   0.01549   0.03444   0.03776    65.785  -10.5902   **    1.3750  -239.7322 
   2.000  -0.14426  -0.01637   0.14518  -173.525    1.1065   **   0.01621   0.03219   0.03604    63.280  -10.9957   **    1.3662  -236.8054 
   3.000  -0.14438  -0.01746   0.14543  -173.105    1.1209   **   0.01689   0.02993   0.03437    60.557  -11.4089   **    1.3570  -233.6626 
   4.000  -0.14444  -0.01854   0.14563  -172.686    1.1330   **   0.01755   0.02765   0.03275    57.595  -11.8270   **    1.3473  -230.2816 
   5.000  -0.14447  -0.01961   0.14579  -172.269    1.1427   **   0.01818   0.02537   0.03121    54.372  -12.2463   **    1.3373  -226.6403 
   6.000  -0.14444  -0.02068   0.14592  -171.852    1.1501   **   0.01878   0.02308   0.02975    50.866  -12.6619   **    1.3270  -222.7178 
   7.000  -0.14437  -0.02174   0.14600  -171.437    1.1551   **   0.01934   0.02079   0.02839    47.060  -13.0677   **    1.3163  -218.4964 
   8.000  -0.14426  -0.02279   0.14604  -171.023    1.1578   **   0.01987   0.01850   0.02715    42.942  -13.4566   **    1.3053  -213.9644 
   9.000  -0.14409  -0.02383   0.14605  -170.610    1.1581   **   0.02037   0.01621   0.02604    38.510  -13.8199   **    1.2940  -209.1192 
  10.000  -0.14389  -0.02486   0.14602  -170.198    1.1562   **   0.02084   0.01394   0.02507    33.774  -14.1482   **    1.2824  -203.9715 
  11.000  -0.14364  -0.02588   0.14595  -169.787    1.1520   **   0.02127   0.01168   0.02427    28.761  -14.4317   **    1.2704  -198.5483 
  12.000  -0.14334  -0.02688   0.14584  -169.377    1.1456   **   0.02167   0.00943   0.02363    23.518  -14.6611   **    1.2581  -192.8950 
  13.000  -0.14300  -0.02788   0.14569  -168.969    1.1369   **   0.02203   0.00721   0.02318    18.107  -14.8286   **    1.2455  -187.0758 
  14.000  -0.14262  -0.02886   0.14551  -168.562    1.1260   **   0.02236   0.00500   0.02292    12.608  -14.9289   **    1.2324  -181.1697 
  15.000  -0.14220  -0.02982   0.14529  -168.155    1.1129   **   0.02266   0.00283   0.02283     7.109  -14.9600   **    1.2189  -175.2643 
  16.000  -0.14174  -0.03077   0.14504  -167.750    1.0978   **   0.02292   0.00068   0.02293     1.697  -14.9239   **    1.2050  -169.4474 
  17.000  -0.14124  -0.03171   0.14475  -167.347    1.0805   **   0.02315  -0.00144   0.02319    -3.548  -14.8257   **    1.1905  -163.7986 
  18.000  -0.14070  -0.03263   0.14443  -166.944    1.0611   **   0.02334  -0.00351   0.02360    -8.562  -14.6730   **    1.1756  -158.3824 
  19.000  -0.14012  -0.03353   0.14407  -166.543    1.0397   **   0.02350  -0.00555   0.02415   -13.297  -14.4754   **    1.1600  -153.2453 
  20.000  -0.13950  -0.03441   0.14369  -166.142    1.0163   **   0.02362  -0.00755   0.02480   -17.727  -14.2425   **    1.1438  -148.4150 
  21.000  -0.13886  -0.03528   0.14327  -165.743    0.9910   **   0.02372  -0.00951   0.02555   -21.841  -13.9839   **    1.1270  -143.9026 
  22.000  -0.13817  -0.03613   0.14282  -165.346    0.9637   **   0.02378  -0.01141   0.02637   -25.640  -13.7082   **    1.1094  -139.7061 
  23.000  -0.13746  -0.03696   0.14234  -164.949    0.9346   **   0.02381  -0.01327   0.02726   -29.135  -13.4228   **    1.0910  -135.8141 
  24.000  -0.13671  -0.03777   0.14183  -164.554    0.9037   **   0.02381  -0.01508   0.02818   -32.345  -13.1338   **    1.0718  -132.2091 
  25.000  -0.13594  -0.03857   0.14130  -164.161    0.8710   **   0.02377  -0.01683   0.02913   -35.290  -12.8461   **    1.0517  -128.8704 
  26.000  -0.13513  -0.03934   0.14074  -163.769    0.8365   **   0.02371  -0.01852   0.03009   -37.993  -12.5635   **    1.0306  -125.7759 
  27.000  -0.13430  -0.04009   0.14016  -163.378    0.8004   **   0.02362  -0.02016   0.03106   -40.474  -12.2890   **    1.0086  -122.9035 
  28.000  -0.13344  -0.04083   0.13955  -162.989    0.7627   **   0.02351  -0.02174   0.03202   -42.757  -12.0246   **    0.9855  -120.2322 
  29.000  -0.13256  -0.04154   0.13892  -162.601    0.7234   **   0.02336  -0.02325   0.03296   -44.859  -11.7720   **    0.9612  -117.7422 
  30.000  -0.13166  -0.04223   0.13827  -162.215    0.6826   **   0.02320  -0.02470   0.03388   -46.799  -11.5321   **    0.9358  -115.4157 
  31.000  -0.13074  -0.04291   0.13760  -161.831    0.6403   **   0.02300  -0.02609   0.03478   -48.594  -11.3058   **    0.9093  -113.2364 
  32.000  -0.12979  -0.04356   0.13691  -161.448    0.5967   **   0.02278  -0.02740   0.03564   -50.259  -11.0935   **    0.8814  -111.1897 
  33.000  -0.12883  -0.04419   0.13620  -161.067    0.5517   **   0.02255  -0.02865   0.03646   -51.805  -10.8955   **    0.8523  -109.2626 
  34.000  -0.12786  -0.04480   0.13548  -160.689    0.5054   **   0.02228  -0.02984   0.03724   -53.245  -10.7118   **    0.8218  -107.4437 
  35.000  -0.12686  -0.04539   0.13474  -160.312    0.4580   **   0.02200  -0.03095   0.03797   -54.589  -10.5425   **    0.7899  -105.7227 
  36.000  -0.12586  -0.04597   0.13399  -159.937    0.4094   **   0.02170  -0.03199   0.03866   -55.846  -10.3875   **    0.7567  -104.0907 
  37.000  -0.12484  -0.04652   0.13323  -159.564    0.3598   **   0.02138  -0.03296   0.03929   -57.025  -10.2466   **    0.7219  -102.5398 
