 [antenna_pattern.dat]

  É” = 0.000 Åãplane
   É∆(deg)       EÉ”       EÉ∆       ER        EL 
     0.000   -0.0878  -11.3526   -5.2379   -1.0159
     1.000   -0.0685  -11.7483   -5.0186   -1.1136
     2.000   -0.0517  -12.1538   -4.8064   -1.2156
     3.000   -0.0372  -12.5671   -4.6015   -1.3220
     4.000   -0.0251  -12.9852   -4.4038   -1.4326
     5.000   -0.0154  -13.4044   -4.2133   -1.5474
     6.000   -0.0080  -13.8200   -4.0299   -1.6663
     7.000   -0.0030  -14.2259   -3.8535   -1.7893
     8.000   -0.0004  -14.6147   -3.6842   -1.9163
     9.000    0.0000  -14.9780   -3.5218   -2.0472
    10.000   -0.0019  -15.3064   -3.3663   -2.1819
    11.000   -0.0061  -15.5899   -3.2175   -2.3203
    12.000   -0.0126  -15.8193   -3.0755   -2.4623
    13.000   -0.0213  -15.9867   -2.9401   -2.6078
    14.000   -0.0321  -16.0870   -2.8112   -2.7567
    15.000   -0.0452  -16.1182   -2.6887   -2.9087
    16.000   -0.0604  -16.0821   -2.5726   -3.0638
    17.000   -0.0777  -15.9838   -2.4627   -3.2218
    18.000   -0.0970  -15.8312   -2.3590   -3.3824
    19.000   -0.1184  -15.6335   -2.2615   -3.5455
    20.000   -0.1418  -15.4006   -2.1699   -3.7109
    21.000   -0.1671  -15.1420   -2.0842   -3.8783
    22.000   -0.1944  -14.8663   -2.0043   -4.0475
    23.000   -0.2235  -14.5809   -1.9302   -4.2181
    24.000   -0.2545  -14.2919   -1.8617   -4.3900
    25.000   -0.2872  -14.0042   -1.7988   -4.5628
    26.000   -0.3216  -13.7217   -1.7414   -4.7362
    27.000   -0.3577  -13.4471   -1.6894   -4.9098
    28.000   -0.3955  -13.1827   -1.6426   -5.0832
    29.000   -0.4348  -12.9301   -1.6012   -5.2561
    30.000   -0.4756  -12.6903   -1.5648   -5.4282
    31.000   -0.5178  -12.4640   -1.5336   -5.5988
    32.000   -0.5615  -12.2517   -1.5073   -5.7678
    33.000   -0.6065  -12.0537   -1.4860   -5.9345
    34.000   -0.6527  -11.8700   -1.4695   -6.0986
    35.000   -0.7001  -11.7007   -1.4578   -6.2595
    36.000   -0.7487  -11.5456   -1.4507   -6.4169
    37.000   -0.7984  -11.4047   -1.4483   -6.5703
    38.000   -0.8490  -11.2778   -1.4504   -6.7192
    39.000   -0.9006  -11.1648   -1.4569   -6.8631
    40.000   -0.9530  -11.0653   -1.4679   -7.0017
    41.000   -1.0062  -10.9793   -1.4831   -7.1345
    42.000   -1.0601  -10.9066   -1.5026   -7.2611
    43.000   -1.1147  -10.8470   -1.5263   -7.3812
    44.000   -1.1698  -10.8003   -1.5540   -7.4944
    45.000   -1.2254  -10.7665   -1.5857   -7.6004
    46.000   -1.2814  -10.7455   -1.6214   -7.6990
    47.000   -1.3377  -10.7370   -1.6610   -7.7899
    48.000   -1.3942  -10.7412   -1.7044   -7.8730
    49.000   -1.4509  -10.7579   -1.7514   -7.9481
    50.000   -1.5077  -10.7871   -1.8021   -8.0152
    51.000   -1.5644  -10.8289   -1.8564   -8.0741
    52.000   -1.6211  -10.8833   -1.9142   -8.1249
    53.000   -1.6776  -10.9505   -1.9754   -8.1677
    54.000   -1.7339  -11.0305   -2.0400   -8.2025
    55.000   -1.7898  -11.1234   -2.1078   -8.2293
    56.000   -1.8453  -11.2296   -2.1788   -8.2485
    57.000   -1.9003  -11.3492   -2.2529   -8.2600
    58.000   -1.9548  -11.4825   -2.3300   -8.2641
    59.000   -2.0085  -11.6299   -2.4101   -8.2610
    60.000   -2.0615  -11.7918   -2.4931   -8.2510
    61.000   -2.1137  -11.9687   -2.5788   -8.2342
    62.000   -2.1650  -12.1610   -2.6672   -8.2109
    63.000   -2.2152  -12.3695   -2.7582   -8.1814
    64.000   -2.2644  -12.5948   -2.8518   -8.1458
    65.000   -2.3125  -12.8377   -2.9477   -8.1045
    66.000   -2.3594  -13.0991   -3.0461   -8.0576
    67.000   -2.4049  -13.3803   -3.1466   -8.0054
    68.000   -2.4492  -13.6823   -3.2493   -7.9482
    69.000   -2.4919  -14.0067   -3.3540   -7.8862
    70.000   -2.5332  -14.3550   -3.4607   -7.8196
    71.000   -2.5729  -14.7293   -3.5692   -7.7485
    72.000   -2.6110  -15.1318   -3.6794   -7.6733
    73.000   -2.6474  -15.5652   -3.7913   -7.5942
    74.000   -2.6820  -16.0326   -3.9046   -7.5112
    75.000   -2.7149  -16.5380   -4.0194   -7.4247
    76.000   -2.7458  -17.0859   -4.1354   -7.3349
    77.000   -2.7749  -17.6820   -4.2526   -7.2418
    78.000   -2.8020  -18.3333   -4.3708   -7.1457
    79.000   -2.8271  -19.0489   -4.4899   -7.0467
    80.000   -2.8502  -19.8402   -4.6097   -6.9451
    81.000   -2.8712  -20.7224   -4.7302   -6.8410
    82.000   -2.8901  -21.7161   -4.8512   -6.7346
    83.000   -2.9068  -22.8501   -4.9726   -6.6261
    84.000   -2.9214  -24.1667   -5.0942   -6.5155
    85.000   -2.9337  -25.7314   -5.2158   -6.4032
    86.000   -2.9439  -27.6542   -5.3374   -6.2892
    87.000   -2.9518  -30.0000   -5.4588   -6.1737
    88.000   -2.9574  -30.0000   -5.5798   -6.0569
    89.000   -2.9608  -30.0000   -5.7002   -5.9390
    90.000   -2.9619  -30.0000   -5.8200   -5.8200
    91.000   -2.9608  -30.0000   -5.9390   -5.7002
    92.000   -2.9574  -30.0000   -6.0569   -5.5798
    93.000   -2.9518  -30.0000   -6.1737   -5.4588
    94.000   -2.9439  -27.6542   -6.2892   -5.3374
    95.000   -2.9337  -25.7314   -6.4032   -5.2158
    96.000   -2.9214  -24.1667   -6.5155   -5.0942
    97.000   -2.9068  -22.8501   -6.6261   -4.9726
    98.000   -2.8901  -21.7161   -6.7346   -4.8512
    99.000   -2.8712  -20.7224   -6.8410   -4.7302
   100.000   -2.8502  -19.8402   -6.9451   -4.6097
   101.000   -2.8271  -19.0489   -7.0467   -4.4899
   102.000   -2.8020  -18.3333   -7.1457   -4.3708
   103.000   -2.7749  -17.6820   -7.2418   -4.2526
   104.000   -2.7458  -17.0859   -7.3349   -4.1354
   105.000   -2.7149  -16.5380   -7.4247   -4.0194
   106.000   -2.6820  -16.0326   -7.5112   -3.9046
   107.000   -2.6474  -15.5652   -7.5942   -3.7913
   108.000   -2.6110  -15.1318   -7.6733   -3.6794
   109.000   -2.5729  -14.7293   -7.7485   -3.5692
   110.000   -2.5332  -14.3550   -7.8196   -3.4607
   111.000   -2.4919  -14.0067   -7.8862   -3.3540
   112.000   -2.4492  -13.6823   -7.9482   -3.2493
   113.000   -2.4049  -13.3803   -8.0054   -3.1466
   114.000   -2.3594  -13.0991   -8.0576   -3.0461
   115.000   -2.3125  -12.8377   -8.1045   -2.9477
   116.000   -2.2644  -12.5948   -8.1458   -2.8518
   117.000   -2.2152  -12.3695   -8.1814   -2.7582
   118.000   -2.1650  -12.1610   -8.2109   -2.6672
   119.000   -2.1137  -11.9687   -8.2342   -2.5788
   120.000   -2.0615  -11.7918   -8.2510   -2.4931
   121.000   -2.0085  -11.6299   -8.2610   -2.4101
   122.000   -1.9548  -11.4825   -8.2641   -2.3300
   123.000   -1.9003  -11.3492   -8.2600   -2.2529
   124.000   -1.8453  -11.2296   -8.2485   -2.1788
   125.000   -1.7898  -11.1234   -8.2293   -2.1078
   126.000   -1.7339  -11.0305   -8.2025   -2.0400
   127.000   -1.6776  -10.9505   -8.1677   -1.9754
   128.000   -1.6211  -10.8833   -8.1249   -1.9142
   129.000   -1.5644  -10.8289   -8.0741   -1.8564
   130.000   -1.5077  -10.7871   -8.0152   -1.8021
   131.000   -1.4509  -10.7579   -7.9481   -1.7514
   132.000   -1.3942  -10.7412   -7.8730   -1.7044
   133.000   -1.3377  -10.7370   -7.7899   -1.6610
   134.000   -1.2814  -10.7455   -7.6990   -1.6214
   135.000   -1.2254  -10.7665   -7.6004   -1.5857
   136.000   -1.1698  -10.8003   -7.4944   -1.5540
   137.000   -1.1147  -10.8470   -7.3812   -1.5263
   138.000   -1.0601  -10.9066   -7.2611   -1.5026
   139.000   -1.0062  -10.9793   -7.1345   -1.4831
   140.000   -0.9530  -11.0653   -7.0017   -1.4679
   141.000   -0.9006  -11.1648   -6.8631   -1.4569
   142.000   -0.8490  -11.2778   -6.7192   -1.4504
   143.000   -0.7984  -11.4047   -6.5703   -1.4483
   144.000   -0.7487  -11.5456   -6.4169   -1.4507
   145.000   -0.7001  -11.7007   -6.2595   -1.4578
   146.000   -0.6527  -11.8700   -6.0986   -1.4695
   147.000   -0.6065  -12.0537   -5.9345   -1.4860
   148.000   -0.5615  -12.2517   -5.7678   -1.5073
   149.000   -0.5178  -12.4640   -5.5988   -1.5336
   150.000   -0.4756  -12.6903   -5.4282   -1.5648
   151.000   -0.4348  -12.9301   -5.2561   -1.6012
   152.000   -0.3955  -13.1827   -5.0832   -1.6426
   153.000   -0.3577  -13.4471   -4.9098   -1.6894
   154.000   -0.3216  -13.7217   -4.7362   -1.7414
   155.000   -0.2872  -14.0042   -4.5628   -1.7988
   156.000   -0.2545  -14.2919   -4.3900   -1.8617
   157.000   -0.2235  -14.5809   -4.2181   -1.9302
   158.000   -0.1944  -14.8663   -4.0475   -2.0043
   159.000   -0.1671  -15.1420   -3.8783   -2.0842
   160.000   -0.1418  -15.4006   -3.7109   -2.1699
   161.000   -0.1184  -15.6335   -3.5455   -2.2615
   162.000   -0.0970  -15.8312   -3.3824   -2.3590
   163.000   -0.0777  -15.9838   -3.2218   -2.4627
   164.000   -0.0604  -16.0821   -3.0638   -2.5726
   165.000   -0.0452  -16.1182   -2.9087   -2.6887
   166.000   -0.0321  -16.0870   -2.7567   -2.8112
   167.000   -0.0213  -15.9867   -2.6078   -2.9401
   168.000   -0.0126  -15.8193   -2.4623   -3.0755
   169.000   -0.0061  -15.5899   -2.3203   -3.2175
   170.000   -0.0019  -15.3064   -2.1819   -3.3663
   171.000    0.0000  -14.9780   -2.0472   -3.5218
   172.000   -0.0004  -14.6147   -1.9163   -3.6842
   173.000   -0.0030  -14.2259   -1.7893   -3.8535
   174.000   -0.0080  -13.8200   -1.6663   -4.0299
   175.000   -0.0154  -13.4044   -1.5474   -4.2133
   176.000   -0.0251  -12.9852   -1.4326   -4.4038
   177.000   -0.0372  -12.5671   -1.3220   -4.6015
   178.000   -0.0517  -12.1538   -1.2156   -4.8064
   179.000   -0.0685  -11.7483   -1.1136   -5.0186
   180.000   -0.0878  -11.3526   -1.0159   -5.2379
   181.000   -0.1094  -10.9681   -0.9225   -5.4645
   182.000   -0.1334  -10.5960   -0.8336   -5.6982
   183.000   -0.1599  -10.2368   -0.7491   -5.9390
   184.000   -0.1887   -9.8910   -0.6691   -6.1867
   185.000   -0.2199   -9.5587   -0.5935   -6.4413
   186.000   -0.2535   -9.2400   -0.5225   -6.7024
   187.000   -0.2895   -8.9348   -0.4560   -6.9699
   188.000   -0.3278   -8.6429   -0.3940   -7.2434
   189.000   -0.3685   -8.3643   -0.3365   -7.5224
   190.000   -0.4115   -8.0985   -0.2836   -7.8064
   191.000   -0.4568   -7.8454   -0.2352   -8.0948
   192.000   -0.5044   -7.6047   -0.1913   -8.3869
   193.000   -0.5543   -7.3760   -0.1520   -8.6817
   194.000   -0.6064   -7.1592   -0.1172   -8.9781
   195.000   -0.6607   -6.9539   -0.0869   -9.2751
   196.000   -0.7173   -6.7598   -0.0612   -9.5710
   197.000   -0.7759   -6.5768   -0.0399   -9.8644
   198.000   -0.8367   -6.4045   -0.0232  -10.1535
   199.000   -0.8996   -6.2427   -0.0110  -10.4363
   200.000   -0.9645   -6.0912   -0.0033  -10.7107
   201.000   -1.0315   -5.9497    0.0000  -10.9744
   202.000   -1.1004   -5.8181   -0.0012  -11.2250
   203.000   -1.1712   -5.6961   -0.0068  -11.4603
   204.000   -1.2438   -5.5837   -0.0169  -11.6780
   205.000   -1.3183   -5.4806   -0.0314  -11.8760
   206.000   -1.3945   -5.3866   -0.0502  -12.0524
   207.000   -1.4724   -5.3017   -0.0735  -12.2059
   208.000   -1.5520   -5.2256   -0.1011  -12.3353
   209.000   -1.6331   -5.1583   -0.1330  -12.4402
   210.000   -1.7158   -5.0997   -0.1693  -12.5207
   211.000   -1.7999   -5.0496   -0.2099  -12.5772
   212.000   -1.8854   -5.0081   -0.2548  -12.6109
   213.000   -1.9722   -4.9749   -0.3039  -12.6233
   214.000   -2.0602   -4.9501   -0.3573  -12.6162
   215.000   -2.1494   -4.9335   -0.4150  -12.5918
   216.000   -2.2396   -4.9252   -0.4768  -12.5521
   217.000   -2.3308   -4.9251   -0.5428  -12.4997
   218.000   -2.4229   -4.9331   -0.6130  -12.4366
   219.000   -2.5159   -4.9494   -0.6874  -12.3651
   220.000   -2.6095   -4.9738   -0.7659  -12.2872
   221.000   -2.7038   -5.0064   -0.8485  -12.2047
   222.000   -2.7987   -5.0472   -0.9352  -12.1194
   223.000   -2.8939   -5.0963   -1.0259  -12.0327
   224.000   -2.9895   -5.1537   -1.1207  -11.9459
   225.000   -3.0854   -5.2194   -1.2196  -11.8601
   226.000   -3.1814   -5.2936   -1.3224  -11.7761
   227.000   -3.2774   -5.3764   -1.4292  -11.6947
   228.000   -3.3733   -5.4678   -1.5400  -11.6166
   229.000   -3.4690   -5.5680   -1.6547  -11.5422
   230.000   -3.5644   -5.6772   -1.7733  -11.4718
   231.000   -3.6595   -5.7955   -1.8958  -11.4057
   232.000   -3.7540   -5.9231   -2.0221  -11.3440
   233.000   -3.8478   -6.0603   -2.1523  -11.2868
   234.000   -3.9409   -6.2072   -2.2862  -11.2340
   235.000   -4.0331   -6.3643   -2.4239  -11.1855
   236.000   -4.1244   -6.5317   -2.5653  -11.1412
   237.000   -4.2145   -6.7098   -2.7104  -11.1008
   238.000   -4.3035   -6.8991   -2.8591  -11.0640
   239.000   -4.3911   -7.1000   -3.0115  -11.0306
   240.000   -4.4772   -7.3130   -3.1673  -11.0002
   241.000   -4.5618   -7.5385   -3.3266  -10.9722
   242.000   -4.6448   -7.7773   -3.4893  -10.9463
   243.000   -4.7259   -8.0300   -3.6554  -10.9219
   244.000   -4.8051   -8.2974   -3.8247  -10.8984
   245.000   -4.8824   -8.5804   -3.9972  -10.8754
   246.000   -4.9575   -8.8800   -4.1728  -10.8521
   247.000   -5.0305   -9.1973   -4.3514  -10.8279
   248.000   -5.1011   -9.5337   -4.5328  -10.8022
   249.000   -5.1693   -9.8905   -4.7169  -10.7743
   250.000   -5.2350  -10.2695   -4.9036  -10.7434
   251.000   -5.2981  -10.6727   -5.0927  -10.7089
   252.000   -5.3585  -11.1025   -5.2841  -10.6702
   253.000   -5.4162  -11.5614   -5.4775  -10.6266
   254.000   -5.4710  -12.0528   -5.6727  -10.5773
   255.000   -5.5229  -12.5805   -5.8695  -10.5220
   256.000   -5.5718  -13.1491   -6.0676  -10.4599
   257.000   -5.6176  -13.7644   -6.2667  -10.3907
   258.000   -5.6603  -14.4335   -6.4665  -10.3139
   259.000   -5.6997  -15.1653   -6.6667  -10.2292
   260.000   -5.7360  -15.9713   -6.8669  -10.1364
   261.000   -5.7689  -16.8668   -7.0668  -10.0353
   262.000   -5.7985  -17.8723   -7.2658   -9.9258
   263.000   -5.8248  -19.0167   -7.4635   -9.8080
   264.000   -5.8476  -20.3422   -7.6594   -9.6820
   265.000   -5.8669  -21.9146   -7.8532   -9.5479
   266.000   -5.8828  -23.8436   -8.0441   -9.4061
   267.000   -5.8951  -26.3352   -8.2317   -9.2569
   268.000   -5.9040  -29.8519   -8.4155   -9.1007
   269.000   -5.9093  -30.0000   -8.5948   -8.9379
   270.000   -5.9110  -30.0000   -8.7691   -8.7691
   271.000   -5.9093  -30.0000   -8.9379   -8.5948
   272.000   -5.9040  -29.8519   -9.1007   -8.4155
   273.000   -5.8951  -26.3352   -9.2569   -8.2317
   274.000   -5.8828  -23.8436   -9.4061   -8.0441
   275.000   -5.8669  -21.9146   -9.5479   -7.8532
   276.000   -5.8476  -20.3422   -9.6820   -7.6594
   277.000   -5.8248  -19.0167   -9.8080   -7.4635
   278.000   -5.7985  -17.8723   -9.9258   -7.2658
   279.000   -5.7689  -16.8668  -10.0353   -7.0668
   280.000   -5.7360  -15.9713  -10.1364   -6.8669
   281.000   -5.6997  -15.1653  -10.2292   -6.6667
   282.000   -5.6603  -14.4335  -10.3139   -6.4665
   283.000   -5.6176  -13.7644  -10.3907   -6.2667
   284.000   -5.5718  -13.1491  -10.4599   -6.0676
   285.000   -5.5229  -12.5805  -10.5220   -5.8695
   286.000   -5.4710  -12.0528  -10.5773   -5.6727
   287.000   -5.4162  -11.5614  -10.6266   -5.4775
   288.000   -5.3585  -11.1025  -10.6702   -5.2841
   289.000   -5.2981  -10.6727  -10.7089   -5.0927
   290.000   -5.2350  -10.2695  -10.7434   -4.9036
   291.000   -5.1693   -9.8905  -10.7743   -4.7169
   292.000   -5.1011   -9.5337  -10.8022   -4.5328
   293.000   -5.0305   -9.1973  -10.8279   -4.3514
   294.000   -4.9575   -8.8800  -10.8521   -4.1728
   295.000   -4.8824   -8.5804  -10.8754   -3.9972
   296.000   -4.8051   -8.2974  -10.8984   -3.8247
   297.000   -4.7259   -8.0300  -10.9219   -3.6554
   298.000   -4.6448   -7.7773  -10.9463   -3.4893
   299.000   -4.5618   -7.5385  -10.9722   -3.3266
   300.000   -4.4772   -7.3130  -11.0002   -3.1673
   301.000   -4.3911   -7.1000  -11.0306   -3.0115
   302.000   -4.3035   -6.8991  -11.0640   -2.8591
   303.000   -4.2145   -6.7098  -11.1008   -2.7104
   304.000   -4.1244   -6.5317  -11.1412   -2.5653
   305.000   -4.0331   -6.3643  -11.1855   -2.4239
   306.000   -3.9409   -6.2072  -11.2340   -2.2862
   307.000   -3.8478   -6.0603  -11.2868   -2.1523
   308.000   -3.7540   -5.9231  -11.3440   -2.0221
   309.000   -3.6595   -5.7955  -11.4057   -1.8958
   310.000   -3.5644   -5.6772  -11.4718   -1.7733
   311.000   -3.4690   -5.5680  -11.5422   -1.6547
   312.000   -3.3733   -5.4678  -11.6166   -1.5400
   313.000   -3.2774   -5.3764  -11.6947   -1.4292
   314.000   -3.1814   -5.2936  -11.7761   -1.3224
   315.000   -3.0854   -5.2194  -11.8601   -1.2196
   316.000   -2.9895   -5.1537  -11.9459   -1.1207
   317.000   -2.8939   -5.0963  -12.0327   -1.0259
   318.000   -2.7987   -5.0472  -12.1194   -0.9352
   319.000   -2.7038   -5.0064  -12.2047   -0.8485
   320.000   -2.6095   -4.9738  -12.2872   -0.7659
   321.000   -2.5159   -4.9494  -12.3651   -0.6874
   322.000   -2.4229   -4.9331  -12.4366   -0.6130
   323.000   -2.3308   -4.9251  -12.4997   -0.5428
   324.000   -2.2396   -4.9252  -12.5521   -0.4768
   325.000   -2.1494   -4.9335  -12.5918   -0.4150
   326.000   -2.0602   -4.9501  -12.6162   -0.3573
   327.000   -1.9722   -4.9749  -12.6233   -0.3039
   328.000   -1.8854   -5.0081  -12.6109   -0.2548
   329.000   -1.7999   -5.0496  -12.5772   -0.2099
   330.000   -1.7158   -5.0997  -12.5207   -0.1693
   331.000   -1.6331   -5.1583  -12.4402   -0.1330
   332.000   -1.5520   -5.2256  -12.3353   -0.1011
   333.000   -1.4724   -5.3017  -12.2059   -0.0735
