 [antenna_conf.dat]

      NSEG      NWIR      NFED     NLOAD           FREQ0          RAMDA0            USEF
        40         1         1         0      1000000000      0.29979246      1000000000

Segment
   NO.           SX           SY           SZ             RX             RY             RZ           SEGL             RA     RAD_MODE
     0    0.8655610    0.5008035    0.0000000       0.250000       0.000000       0.000000       0.025017       0.001000            1
     1    0.8655610    0.5008035    0.0000000       0.271654       0.012529       0.000000       0.025017       0.001000            1
     2    0.8655610    0.5008035    0.0000000       0.293308       0.025057       0.000000       0.025017       0.001000            1
     3    0.8655610    0.5008035    0.0000000       0.314962       0.037586       0.000000       0.025017       0.001000            1
     4    0.8655610    0.5008035    0.0000000       0.336616       0.050115       0.000000       0.025017       0.001000            1
     5    0.8655610    0.5008035    0.0000000       0.358270       0.062644       0.000000       0.025017       0.001000            1
     6    0.8655610    0.5008035    0.0000000       0.379924       0.075172       0.000000       0.025017       0.001000            1
     7    0.8655610    0.5008035    0.0000000       0.401578       0.087701       0.000000       0.025017       0.001000            1
     8    0.8655610    0.5008035    0.0000000       0.423232       0.100230       0.000000       0.025017       0.001000            1
     9    0.8655610    0.5008035    0.0000000       0.444886       0.112759       0.000000       0.025017       0.001000            1
    10    1.0000000    0.0000000    0.0000000      -0.250000       0.000000       0.000000       0.025000       0.001000            1
    11    1.0000000    0.0000000    0.0000000      -0.225000       0.000000       0.000000       0.025000       0.001000            1
    12    1.0000000    0.0000000    0.0000000      -0.200000       0.000000       0.000000       0.025000       0.001000            1
    13    1.0000000    0.0000000    0.0000000      -0.175000       0.000000       0.000000       0.025000       0.001000            1
    14    1.0000000    0.0000000    0.0000000      -0.150000       0.000000       0.000000       0.025000       0.001000            1
    15    1.0000000    0.0000000    0.0000000      -0.125000       0.000000       0.000000       0.025000       0.001000            1
    16    1.0000000    0.0000000    0.0000000      -0.100000       0.000000       0.000000       0.025000       0.001000            1
    17    1.0000000    0.0000000    0.0000000      -0.075000       0.000000       0.000000       0.025000       0.001000            1
    18    1.0000000    0.0000000    0.0000000      -0.050000       0.000000       0.000000       0.025000       0.001000            1
    19    1.0000000    0.0000000    0.0000000      -0.025000       0.000000       0.000000       0.025000       0.001000            1
    20    1.0000000    0.0000000    0.0000000       0.000000       0.000000       0.000000       0.025000       0.001000            1
    21    1.0000000    0.0000000    0.0000000       0.025000       0.000000       0.000000       0.025000       0.001000            1
    22    1.0000000    0.0000000    0.0000000       0.050000       0.000000       0.000000       0.025000       0.001000            1
    23    1.0000000    0.0000000    0.0000000       0.075000       0.000000       0.000000       0.025000       0.001000            1
    24    1.0000000    0.0000000    0.0000000       0.100000       0.000000       0.000000       0.025000       0.001000            1
    25    1.0000000    0.0000000    0.0000000       0.125000       0.000000       0.000000       0.025000       0.001000            1
    26    1.0000000    0.0000000    0.0000000       0.150000       0.000000       0.000000       0.025000       0.001000            1
    27    1.0000000    0.0000000    0.0000000       0.175000       0.000000       0.000000       0.025000       0.001000            1
    28    1.0000000    0.0000000    0.0000000       0.200000       0.000000       0.000000       0.025000       0.001000            1
    29    1.0000000    0.0000000    0.0000000       0.225000       0.000000       0.000000       0.025000       0.001000            1
    30   -0.8659588    0.5001153    0.0000000       0.250000       0.000000       0.000000       0.024983       0.001000            1
    31   -0.8659588    0.5001153    0.0000000       0.228366       0.012494       0.000000       0.024983       0.001000            1
    32   -0.8659588    0.5001153    0.0000000       0.206732       0.024989       0.000000       0.024983       0.001000            1
    33   -0.8659588    0.5001153    0.0000000       0.185098       0.037483       0.000000       0.024983       0.001000            1
    34   -0.8659588    0.5001153    0.0000000       0.163464       0.049977       0.000000       0.024983       0.001000            1
    35   -0.8659588    0.5001153    0.0000000       0.141830       0.062471       0.000000       0.024983       0.001000            1
    36   -0.8659588    0.5001153    0.0000000       0.120196       0.074966       0.000000       0.024983       0.001000            1
    37   -0.8659588    0.5001153    0.0000000       0.098562       0.087460       0.000000       0.024983       0.001000            1
    38   -0.8659588    0.5001153    0.0000000       0.076928       0.099954       0.000000       0.024983       0.001000            1
    39   -0.8659588    0.5001153    0.0000000       0.055294       0.112448       0.000000       0.024983       0.001000            1

Wire
   NO.     SEGN
     0       40

Feed
   NO.     FEDP      FEDV.re      FEDV.im
     0       19     -1.00000     -0.00000

Load
   NO.     LOADP      LOADZ.re      LOADZ.im



