 [antenna_current.dat]

     i     Im[i].re     Im[i].im      |Im[i]|   PhaseIm[i] 
     1  -0.00004644  -0.00058989   0.00059171       -94.50
     2  -0.00005617  -0.00098351   0.00098512       -93.27
     3  -0.00005316  -0.00133298   0.00133404       -92.28
     4  -0.00003823  -0.00163362   0.00163406       -91.34
     5  -0.00001290  -0.00188477   0.00188481       -90.39
     6   0.00002159  -0.00208357   0.00208368       -89.41
     7   0.00006401  -0.00222721   0.00222813       -88.35
     8   0.00011334  -0.00231325   0.00231603       -87.19
     9   0.00016827  -0.00234045   0.00234649       -85.89
    10   0.00024101  -0.00229620   0.00230882       -84.01
    11   0.00024133  -0.00230936   0.00232194       -84.03
    12   0.00024163  -0.00225807   0.00227096       -83.89
    13   0.00024208  -0.00214984   0.00216342       -83.58
    14   0.00024335  -0.00198625   0.00200110       -83.02
    15   0.00024607  -0.00176993   0.00178695       -82.08
    16   0.00025092  -0.00150388   0.00152467       -80.53
    17   0.00025852  -0.00119106   0.00121879       -77.75
    18   0.00026946  -0.00083195   0.00087450       -72.05
    19   0.00028427  -0.00043124   0.00051650       -56.61
    20   0.00030336   0.00017301   0.00034923        29.70
    21   0.00032700  -0.00020298   0.00038487       -31.83
    22   0.00035516  -0.00038056   0.00052055       -46.98
    23   0.00038756  -0.00052663   0.00065386       -53.65
    24   0.00042353  -0.00064109   0.00076836       -56.55
    25   0.00046219  -0.00072756   0.00086195       -57.57
    26   0.00050248  -0.00078640   0.00093323       -57.42
    27   0.00054326  -0.00081688   0.00098103       -56.37
    28   0.00058348  -0.00081649   0.00100354       -54.45
    29   0.00062163  -0.00078689   0.00100280       -51.69
    30   0.00066364  -0.00064953   0.00092861       -44.38
    31   0.00070108  -0.00046776   0.00084280       -33.71
    32   0.00071086  -0.00038839   0.00081004       -28.65
    33   0.00070019  -0.00031595   0.00076817       -24.29
    34   0.00066790  -0.00025196   0.00071384       -20.67
    35   0.00061394  -0.00019430   0.00064395       -17.56
    36   0.00053857  -0.00014290   0.00055721       -14.86
    37   0.00044234  -0.00009810   0.00045309       -12.50
    38   0.00032549  -0.00006018   0.00033101       -10.48
    39   0.00018926  -0.00002907   0.00019148        -8.73



