 [antenna_field.dat]

  É” = 0.000 Åãplane
   --    >>-------   -------   --EÉ”--   -------   -------<< ** >>-------   -------   --EÉ∆--   -------   -------<< ** >>-------   --------<<
 É∆(deg)   FRAD.re   FRAD.im    |FRAD|    FPHASE  FGAI(dB)   **   TRAD.re   TRAD.im    |TRAD|    TPHASE  TGAI(dB)   ** TFGAI(dB)    TPHASE
   0.000   0.01165   0.04484   0.04632    75.439   -6.2746   **   0.06967   0.14402   0.15998    64.185    4.4907   **    4.8404    11.2531 
   1.000   0.00999   0.04548   0.04656    77.605   -6.2301   **   0.06810   0.14499   0.16019    64.841    4.5018   **    4.8541    12.7641 
   2.000   0.00831   0.04605   0.04680    79.766   -6.1868   **   0.06645   0.14579   0.16022    65.497    4.5033   **    4.8588    14.2693 
   3.000   0.00661   0.04656   0.04702    81.921   -6.1447   **   0.06471   0.14640   0.16006    66.153    4.4950   **    4.8545    15.7685 
   4.000   0.00488   0.04699   0.04724    84.070   -6.1038   **   0.06290   0.14683   0.15973    66.808    4.4771   **    4.8413    17.2615 
   5.000   0.00314   0.04736   0.04746    86.211   -6.0642   **   0.06103   0.14707   0.15923    67.463    4.4495   **    4.8191    18.7480 
   6.000   0.00138   0.04765   0.04767    88.344   -6.0258   **   0.05909   0.14712   0.15855    68.117    4.4123   **    4.7882    20.2278 
   7.000  -0.00039   0.04787   0.04787    90.470   -5.9887   **   0.05710   0.14699   0.15769    68.769    4.3654   **    4.7483    21.7005 
   8.000  -0.00217   0.04802   0.04807    92.587   -5.9529   **   0.05507   0.14667   0.15667    69.421    4.3090   **    4.6997    23.1660 
   9.000  -0.00395   0.04810   0.04826    94.694   -5.9184   **   0.05300   0.14617   0.15549    70.070    4.2429   **    4.6424    24.6239 
  10.000  -0.00573   0.04811   0.04845    96.792   -5.8851   **   0.05090   0.14549   0.15414    70.718    4.1672   **    4.5764    26.0741 
  11.000  -0.00751   0.04805   0.04863    98.880   -5.8531   **   0.04877   0.14463   0.15263    71.364    4.0819   **    4.5018    27.5163 
  12.000  -0.00928   0.04791   0.04880   100.958   -5.8224   **   0.04663   0.14359   0.15097    72.008    3.9870   **    4.4186    28.9501 
  13.000  -0.01103   0.04771   0.04897   103.024   -5.7930   **   0.04449   0.14238   0.14917    72.648    3.8825   **    4.3269    30.3755 
  14.000  -0.01278   0.04743   0.04912   105.078   -5.7648   **   0.04234   0.14100   0.14722    73.286    3.7683   **    4.2268    31.7920 
  15.000  -0.01451   0.04709   0.04928   107.121   -5.7380   **   0.04020   0.13946   0.14513    73.921    3.6445   **    4.1183    33.1996 
  16.000  -0.01621   0.04669   0.04942   109.151   -5.7123   **   0.03807   0.13776   0.14292    74.553    3.5110   **    4.0016    34.5979 
  17.000  -0.01790   0.04622   0.04956   111.168   -5.6880   **   0.03596   0.13591   0.14058    75.181    3.3679   **    3.8766    35.9867 
  18.000  -0.01955   0.04569   0.04969   113.171   -5.6648   **   0.03387   0.13391   0.13813    75.806    3.2150   **    3.7436    37.3658 
  19.000  -0.02118   0.04509   0.04982   115.161   -5.6429   **   0.03182   0.13178   0.13557    76.426    3.0525   **    3.6026    38.7349 
  20.000  -0.02278   0.04444   0.04994   117.136   -5.6223   **   0.02980   0.12952   0.13291    77.042    2.8801   **    3.4537    40.0938 
  21.000  -0.02434   0.04373   0.05005   119.096   -5.6028   **   0.02783   0.12714   0.13015    77.654    2.6980   **    3.2970    41.4422 
  22.000  -0.02586   0.04297   0.05016   121.041   -5.5845   **   0.02590   0.12464   0.12731    78.261    2.5061   **    3.1327    42.7800 
  23.000  -0.02735   0.04216   0.05025   122.969   -5.5674   **   0.02403   0.12204   0.12438    78.862    2.3043   **    2.9610    44.1069 
  24.000  -0.02879   0.04130   0.05035   124.882   -5.5515   **   0.02221   0.11934   0.12139    79.459    2.0927   **    2.7820    45.4226 
  25.000  -0.03019   0.04039   0.05043   126.777   -5.5367   **   0.02045   0.11655   0.11833    80.050    1.8711   **    2.5959    46.7270 
  26.000  -0.03155   0.03945   0.05051   128.656   -5.5230   **   0.01875   0.11368   0.11522    80.636    1.6395   **    2.4030    48.0199 
  27.000  -0.03286   0.03846   0.05058   130.516   -5.5104   **   0.01711   0.11074   0.11206    81.215    1.3978   **    2.2033    49.3010 
  28.000  -0.03413   0.03743   0.05065   132.359   -5.4990   **   0.01555   0.10774   0.10885    81.788    1.1461   **    1.9973    50.5700 
  29.000  -0.03534   0.03637   0.05071   134.182   -5.4885   **   0.01405   0.10468   0.10562    82.355    0.8842   **    1.7851    51.8269 
  30.000  -0.03651   0.03527   0.05077   135.987   -5.4791   **   0.01262   0.10158   0.10236    82.915    0.6120   **    1.5671    53.0714 
  31.000  -0.03763   0.03415   0.05082   137.772   -5.4708   **   0.01127   0.09845   0.09909    83.469    0.3296   **    1.3436    54.3033 
