 [antenna_pattern.dat]

  É” = 0.000 Åãplane
   É∆(deg)       EÉ”       EÉ∆       ER        EL 
     0.000  -10.7779   -0.0125   -1.2035   -0.2945
     1.000  -10.7333   -0.0014   -1.2590   -0.2254
     2.000  -10.6900   -0.0000   -1.3250   -0.1658
     3.000  -10.6479   -0.0083   -1.4015   -0.1156
     4.000  -10.6071   -0.0262   -1.4889   -0.0745
     5.000  -10.5674   -0.0538   -1.5870   -0.0425
     6.000  -10.5291   -0.0910   -1.6963   -0.0195
     7.000  -10.4920   -0.1378   -1.8167   -0.0054
     8.000  -10.4562   -0.1943   -1.9485    0.0000
     9.000  -10.4216   -0.2603   -2.0919   -0.0032
    10.000  -10.3884   -0.3360   -2.2471   -0.0150
    11.000  -10.3564   -0.4213   -2.4143   -0.0352
    12.000  -10.3257   -0.5162   -2.5938   -0.0636
    13.000  -10.2963   -0.6208   -2.7858   -0.1003
    14.000  -10.2681   -0.7349   -2.9906   -0.1450
    15.000  -10.2412   -0.8588   -3.2086   -0.1977
    16.000  -10.2156   -0.9922   -3.4400   -0.2583
    17.000  -10.1912   -1.1354   -3.6853   -0.3265
    18.000  -10.1681   -1.2882   -3.9448   -0.4024
    19.000  -10.1462   -1.4508   -4.2191   -0.4858
    20.000  -10.1255   -1.6231   -4.5085   -0.5766
    21.000  -10.1060   -1.8052   -4.8137   -0.6746
    22.000  -10.0878   -1.9971   -5.1352   -0.7797
    23.000  -10.0707   -2.1989   -5.4738   -0.8918
    24.000  -10.0547   -2.4106   -5.8300   -1.0107
    25.000  -10.0399   -2.6322   -6.2048   -1.1364
    26.000  -10.0263   -2.8638   -6.5990   -1.2685
    27.000  -10.0137   -3.1054   -7.0137   -1.4071
    28.000  -10.0022   -3.3572   -7.4499   -1.5520
    29.000   -9.9918   -3.6191   -7.9089   -1.7029
    30.000   -9.9824   -3.8912   -8.3921   -1.8597
    31.000   -9.9740   -4.1737   -8.9010   -2.0222
    32.000   -9.9666   -4.4665   -9.4375   -2.1902
    33.000   -9.9602   -4.7698  -10.0034   -2.3636
    34.000   -9.9547   -5.0837  -10.6008   -2.5421
    35.000   -9.9501   -5.4083  -11.2322   -2.7255
    36.000   -9.9464   -5.7436  -11.9001   -2.9135
    37.000   -9.9435   -6.0898  -12.6072   -3.1061
    38.000   -9.9415   -6.4470  -13.3562   -3.3028
    39.000   -9.9402   -6.8154  -14.1495   -3.5034
    40.000   -9.9397   -7.1950  -14.9889   -3.7077
    41.000   -9.9399   -7.5860  -15.8745   -3.9153
    42.000   -9.9409   -7.9886  -16.8029   -4.1261
    43.000   -9.9424   -8.4029  -17.7650   -4.3396
    44.000   -9.9447   -8.8291  -18.7411   -4.5555
    45.000   -9.9475   -9.2674  -19.6946   -4.7736
    46.000   -9.9509   -9.7180  -20.5659   -4.9934
    47.000   -9.9548  -10.1810  -21.2720   -5.2146
    48.000   -9.9592  -10.6568  -21.7222   -5.4367
    49.000   -9.9641  -11.1454  -21.8553   -5.6595
    50.000   -9.9694  -11.6473  -21.6740   -5.8826
    51.000   -9.9751  -12.1625  -21.2429   -6.1054
    52.000   -9.9812  -12.6915  -20.6528   -6.3276
    53.000   -9.9876  -13.2344  -19.9853   -6.5487
    54.000   -9.9944  -13.7916  -19.2978   -6.7684
    55.000  -10.0013  -14.3634  -18.6252   -6.9861
    56.000  -10.0086  -14.9501  -17.9860   -7.2014
    57.000  -10.0160  -15.5521  -17.3885   -7.4139
    58.000  -10.0236  -16.1696  -16.8356   -7.6231
    59.000  -10.0313  -16.8032  -16.3268   -7.8286
    60.000  -10.0392  -17.4532  -15.8600   -8.0299
    61.000  -10.0471  -18.1199  -15.4325   -8.2267
    62.000  -10.0550  -18.8039  -15.0416   -8.4184
    63.000  -10.0630  -19.5057  -14.6841   -8.6049
    64.000  -10.0710  -20.2256  -14.3575   -8.7856
    65.000  -10.0789  -20.9643  -14.0590   -8.9603
    66.000  -10.0868  -21.7223  -13.7863   -9.1287
    67.000  -10.0945  -22.5001  -13.5373   -9.2904
    68.000  -10.1022  -23.2984  -13.3101   -9.4454
    69.000  -10.1097  -24.1181  -13.1027   -9.5934
    70.000  -10.1170  -24.9598  -12.9136   -9.7342
    71.000  -10.1241  -25.8245  -12.7413   -9.8678
    72.000  -10.1310  -26.7133  -12.5844   -9.9942
    73.000  -10.1376  -27.6276  -12.4417  -10.1133
    74.000  -10.1440  -28.5690  -12.3119  -10.2252
    75.000  -10.1501  -29.5395  -12.1939  -10.3301
    76.000  -10.1559  -30.0000  -12.0869  -10.4281
    77.000  -10.1614  -30.0000  -11.9897  -10.5193
    78.000  -10.1666  -30.0000  -11.9015  -10.6041
    79.000  -10.1713  -30.0000  -11.8214  -10.6827
    80.000  -10.1758  -30.0000  -11.7486  -10.7555
    81.000  -10.1798  -30.0000  -11.6823  -10.8228
    82.000  -10.1835  -30.0000  -11.6218  -10.8851
    83.000  -10.1867  -30.0000  -11.5663  -10.9428
    84.000  -10.1895  -30.0000  -11.5150  -10.9963
    85.000  -10.1920  -30.0000  -11.4674  -11.0462
    86.000  -10.1939  -30.0000  -11.4226  -11.0930
    87.000  -10.1955  -30.0000  -11.3802  -11.1372
    88.000  -10.1966  -30.0000  -11.3393  -11.1793
    89.000  -10.1973  -30.0000  -11.2994  -11.2200
    90.000  -10.1975  -30.0000  -11.2599  -11.2599
    91.000  -10.1973  -30.0000  -11.2200  -11.2994
    92.000  -10.1966  -30.0000  -11.1793  -11.3393
    93.000  -10.1955  -30.0000  -11.1372  -11.3802
    94.000  -10.1939  -30.0000  -11.0930  -11.4226
    95.000  -10.1920  -30.0000  -11.0462  -11.4674
    96.000  -10.1895  -30.0000  -10.9963  -11.5150
    97.000  -10.1867  -30.0000  -10.9428  -11.5663
    98.000  -10.1835  -30.0000  -10.8851  -11.6218
    99.000  -10.1798  -30.0000  -10.8228  -11.6823
   100.000  -10.1758  -30.0000  -10.7555  -11.7486
   101.000  -10.1713  -30.0000  -10.6827  -11.8214
   102.000  -10.1666  -30.0000  -10.6041  -11.9015
   103.000  -10.1614  -30.0000  -10.5193  -11.9897
   104.000  -10.1559  -30.0000  -10.4281  -12.0869
   105.000  -10.1501  -29.5395  -10.3301  -12.1939
   106.000  -10.1440  -28.5690  -10.2252  -12.3119
   107.000  -10.1376  -27.6276  -10.1133  -12.4417
   108.000  -10.1310  -26.7133   -9.9942  -12.5844
   109.000  -10.1241  -25.8245   -9.8678  -12.7413
   110.000  -10.1170  -24.9598   -9.7342  -12.9136
   111.000  -10.1097  -24.1181   -9.5934  -13.1027
   112.000  -10.1022  -23.2984   -9.4454  -13.3101
   113.000  -10.0945  -22.5001   -9.2904  -13.5373
   114.000  -10.0868  -21.7223   -9.1287  -13.7863
   115.000  -10.0789  -20.9643   -8.9603  -14.0590
   116.000  -10.0710  -20.2256   -8.7856  -14.3575
   117.000  -10.0630  -19.5057   -8.6049  -14.6841
   118.000  -10.0550  -18.8039   -8.4184  -15.0416
   119.000  -10.0471  -18.1199   -8.2267  -15.4325
   120.000  -10.0392  -17.4532   -8.0299  -15.8600
   121.000  -10.0313  -16.8032   -7.8286  -16.3268
   122.000  -10.0236  -16.1696   -7.6231  -16.8356
   123.000  -10.0160  -15.5521   -7.4139  -17.3885
   124.000  -10.0086  -14.9501   -7.2014  -17.9860
   125.000  -10.0013  -14.3634   -6.9861  -18.6252
   126.000   -9.9944  -13.7916   -6.7684  -19.2978
